Index,Cm
t0,0.092988
t1,0.092988
t2,0.092988
t3,0.092988
t4,0.092988
t5,0.092988
t6,0.092988
t7,0.092988
t8,0.092988
t9,0.092988
t10,0.092988
t11,0.092988
t12,0.092988
t13,0.092988
t14,0.092988
t15,0.092988
t16,0.092988
t17,0.092988
t18,0.092988
t19,0.092988
t20,0.092988
t21,0.092988
t22,0.092988
t23,0.092988
t24,0.092988
t25,0.092988
t26,0.092988
t27,0.092988
t28,0.092988
t29,0.092988
t30,0.092988
t31,0.092988
t32,0.092988
t33,0.092988
t34,0.092988
t35,0.092988
t36,0.092988
t37,0.092988
t38,0.092988
t39,0.092988
t40,0.092988
t41,0.092988
t42,0.092988
t43,0.092988
t44,0.092988
t45,0.092988
t46,0.092988
t47,0.092988
t48,0.092988
t49,0.092988
t50,0.092988
t51,0.092988
t52,0.092988
t53,0.092988
t54,0.092988
t55,0.092988
t56,0.092988
t57,0.092988
t58,0.092988
t59,0.092988
t60,0.092988
t61,0.12552
t62,0.12552
t63,0.158052
t64,0.158052
t65,0.158052
t66,0.158052
t67,0.092988
t68,0.092988
t69,0.092988
t70,0.092988
t71,0.092988
t72,0.092988
t73,0.092988
t74,0.092988
t75,0.092988
t76,0.092988
t77,0.092988
t78,0.092988
t79,0.092988
t80,0.092988
t81,0.092988
t82,0.092988
t83,0.092988
t84,0.092988
t85,0.12552
t86,0.12552
t87,0.158052
t88,0.158052
t89,0.158052
t90,0.158052
t91,0.092988
t92,0.092988
t93,0.092988
t94,0.092988
t95,0.092988
t96,0.092988
t97,0.092988
t98,0.092988
t99,0.092988
t100,0.092988
t101,0.092988
t102,0.092988
t103,0.092988
t104,0.092988
t105,0.092988
t106,0.092988
t107,0.092988
t108,0.092988
t109,0.12552
t110,0.12552
t111,0.158052
t112,0.158052
t113,0.158052
t114,0.158052
t115,0.092988
t116,0.092988
t117,0.092988
t118,0.092988
t119,0.092988
t120,0.092988
t121,0.092988
t122,0.092988
t123,0.092988
t124,0.092988
t125,0.092988
t126,0.092988
t127,0.092988
t128,0.092988
t129,0.092988
t130,0.092988
t131,0.092988
t132,0.092988
t133,0.12552
t134,0.12552
t135,0.158052
t136,0.158052
t137,0.158052
t138,0.158052
t139,0.092988
t140,0.092988
t141,0.092988
t142,0.092988
t143,0.092988
t144,0.092988
t145,0.092988
