Index,DC
t0,0
t1,0
t2,102
t3,102
t4,102
t5,102
t6,101
t7,100
t8,100
t9,100
t10,100
t11,100
t12,100
t13,100
t14,100
t15,101
t16,101
t17,100
t18,101
t19,101
t20,100
t21,100
t22,100
t23,101
t24,101
t25,100
t26,101
t27,102
t28,102
t29,101
t30,100
t31,101
t32,101
t33,100
t34,100
t35,101
t36,101
t37,101
t38,101
t39,100
t40,100
t41,100
t42,100
t43,100
t44,101
t45,101
t46,101
t47,101
t48,100
t49,101
t50,101
t51,101
t52,102
t53,101
t54,100
t55,100
t56,101
t57,101
t58,101
t59,102
t60,101
t61,101
t62,101
t63,101
t64,101
t65,101
t66,101
t67,101
t68,101
t69,100
t70,100
t71,100
t72,100
t73,100
t74,101
t75,102
t76,102
t77,101
t78,101
t79,101
t80,100
t81,101
t82,102
t83,102
t84,102
t85,101
t86,100
t87,100
t88,100
t89,100
t90,100
t91,99
t92,99
t93,99
t94,99
t95,100
t96,100
t97,100
t98,100
t99,100
t100,100
t101,100
t102,99
t103,99
t104,100
t105,100
t106,100
t107,99
t108,99
t109,100
t110,100
t111,100
t112,100
t113,100
t114,100
t115,100
t116,100
t117,101
t118,100
t119,99
t120,100
t121,101
t122,101
t123,100
t124,101
t125,101
t126,100
t127,100
t128,100
t129,100
t130,100
t131,101
t132,101
t133,100
t134,102
t135,106
t136,107
t137,103
t138,101
t139,102
t140,102
t141,103
t142,103
t143,102
t144,102
t145,103
t146,104
t147,103
t148,103
t149,103
t150,102
t151,103
t152,103
t153,102
t154,102
t155,101
t156,101
t157,102
t158,102
t159,102
t160,102
t161,102
t162,102
t163,102
t164,102
t165,102
t166,102
t167,102
t168,102
t169,103
t170,105
t171,104
t172,103
t173,103
t174,102
t175,103
t176,103
t177,102
t178,102
t179,102
t180,103
t181,106
t182,102
t183,99
t184,102
t185,102
t186,102
t187,103
t188,103
t189,102
t190,102
t191,102
t192,102
t193,102
t194,102
t195,102
t196,102
t197,102
t198,102
t199,102
t200,102
t201,103
t202,102
t203,101
t204,103
t205,102
t206,102
t207,103
t208,102
t209,102
t210,101
t211,102
t212,103
t213,101
t214,101
t215,102
t216,101
t217,100
t218,101
t219,102
t220,102
t221,102
t222,101
t223,100
t224,101
t225,101
t226,101
t227,101
t228,102
t229,103
t230,102
t231,101
t232,100
t233,101
t234,102
t235,102
t236,102
t237,101
t238,101
t239,102
t240,101
t241,101
t242,102
t243,102
t244,102
t245,101
t246,101
t247,101
t248,101
t249,102
t250,101
t251,101
t252,102
t253,102
t254,102
t255,102
t256,102
t257,102
t258,101
t259,101
t260,102
t261,102
t262,101
t263,101
t264,102
t265,101
t266,101
t267,102
t268,102
t269,101
t270,101
t271,101
t272,101
t273,101
t274,100
t275,101
t276,102
t277,102
t278,102
t279,102
t280,101
t281,101
t282,102
t283,102
t284,102
t285,102
t286,102
t287,101
t288,101
t289,102
t290,102
t291,102
t292,103
t293,103
t294,102
t295,102
t296,102
t297,102
t298,102
t299,102
t300,102
t301,102
t302,105
t303,109
t304,109
t305,105
t306,102
t307,101
t308,101
t309,101
t310,102
t311,102
t312,101
t313,102
t314,102
t315,102
t316,101
t317,101
t318,102
t319,101
t320,100
t321,101
t322,101
t323,100
t324,101
t325,102
t326,102
t327,104
t328,104
t329,102
t330,101
t331,100
t332,101
t333,101
t334,100
t335,101
t336,101
t337,100
t338,101
t339,102
t340,102
t341,102
t342,101
t343,100
t344,101
t345,102
t346,102
t347,102
t348,101
t349,101
t350,102
t351,101
t352,100
t353,102
t354,102
t355,101
t356,101
t357,100
t358,101
t359,102
t360,101
t361,101
t362,101
t363,101
t364,101
t365,100
t366,100
t367,101
t368,102
t369,101
t370,101
t371,101
t372,100
t373,100
t374,101
t375,101
t376,101
t377,101
t378,101
t379,102
t380,102
t381,102
t382,102
t383,101
t384,100
t385,100
t386,100
t387,101
t388,101
t389,100
t390,100
t391,101
t392,101
t393,101
t394,102
t395,102
t396,102
t397,103
t398,103
t399,103
t400,103
t401,102
t402,102
t403,101
t404,102
t405,103
t406,102
t407,102
t408,102
t409,101
t410,101
t411,102
t412,102
t413,101
t414,101
t415,101
t416,101
t417,101
t418,101
t419,101
t420,101
t421,102
t422,102
t423,101
t424,101
t425,103
t426,101
t427,100
t428,101
t429,100
t430,101
t431,101
t432,100
t433,101
t434,101
t435,101
t436,101
t437,101
t438,101
t439,100
t440,100
t441,100
t442,101
