Index,Em
t0,0.7627
t1,0.7486
t2,0.7441
t3,0.746
t4,0.7345
t5,0.7175
t6,0.716
t7,0.6902
t8,0.7066
t9,0.7008
t10,0.7339
t11,0.7875
t12,0.7626
t13,0.7505
t14,0.7484
t15,0.7206
t16,0.6804
t17,0.724
t18,0.7637
t19,0.7732
t20,0.757
t21,0.7509
t22,0.7768
t23,0.781
t24,0.7668
t25,0.7527
t26,0.7336
t27,0.734
t28,0.7429
t29,0.75
t30,0.7467
t31,0.7365
t32,0.7293
t33,0.7439
t34,0.7845
t35,0.7876
t36,0.7746
t37,0.7817
t38,0.8049
t39,0.7892
t40,0.7756
t41,0.7758
t42,0.771
t43,0.7804
t44,0.7668
t45,0.7478
t46,0.7732
t47,0.8001
t48,0.7809
t49,0.7687
t50,0.7663
t51,0.7656
t52,0.7474
t53,0.7448
t54,0.7312
t55,0.7263
t56,0.6802
t57,0.6642
t58,0.6861
t59,0.7323
t60,0.7501
t61,0.7602
t62,0.7772
t63,0.7628
t64,0.7463
t65,0.7545
t66,0.7651
t67,0.7741
t68,0.7727
t69,0.7666
t70,0.7902
t71,0.7749
t72,0.7332
t73,0.6959
t74,0.6732
t75,0.6778
t76,0.6824
t77,0.647
t78,0.6661
t79,0.7179
t80,0.7269
t81,0.7397
t82,0.7604
t83,0.7815
t84,0.7927
t85,0.7805
t86,0.7939
t87,0.7963
t88,0.7997
t89,0.794
t90,0.7833
t91,0.7826
t92,0.7827
t93,0.7861
t94,0.7891
t95,0.7897
t96,0.7765
t97,0.771
t98,0.7899
t99,0.8086
t100,0.8092
t101,0.8147
t102,0.8208
t103,0.8334
t104,0.829
t105,0.8241
t106,0.802
t107,0.7845
t108,0.7461
t109,0.7409
t110,0.7451
t111,0.7409
t112,0.7385
t113,0.7282
t114,0.7363
t115,0.725
t116,0.7165
t117,0.718
t118,0.7552
t119,0.7667
t120,0.736
t121,0.7254
t122,0.7216
t123,0.7033
t124,0.6299
t125,0.6225
t126,0.6012
t127,0.588
t128,0.5997
t129,0.6037
t130,0.5873
t131,0.5748
t132,0.5721
t133,0.5827
t134,0.6042
t135,0.6158
t136,0.6097
t137,0.5972
t138,0.5999
t139,0.6207
t140,0.6313
t141,0.662
t142,0.7224
t143,0.7905
t144,0.773
t145,0.7268
t146,0.7161
t147,0.7312
t148,0.74
t149,0.7345
t150,0.762
t151,0.7589
t152,0.7816
t153,0.7888
t154,0.7956
t155,0.7773
t156,0.7403
t157,0.767
t158,0.7895
t159,0.7853
t160,0.7703
t161,0.7518
t162,0.7788
t163,0.7935
t164,0.7835
t165,0.7738
t166,0.7724
t167,0.7821
t168,0.7809
t169,0.7768
t170,0.7872
t171,0.783
t172,0.7834
t173,0.7546
t174,0.7316
t175,0.703
t176,0.6762
t177,0.6456
t178,0.62
t179,0.6025
t180,0.6071
t181,0.6137
t182,0.6525
t183,0.6578
t184,0.658
t185,0.6545
t186,0.6472
t187,0.6561
t188,0.6522
t189,0.6401
t190,0.6404
t191,0.6784
t192,0.4708
t193,0.455
t194,0.4352
t195,0.41
t196,0.3948
t197,0.4017
t198,0.4063
t199,0.4008
t200,0.409
t201,0.4032
t202,0.4056
t203,0.4244
t204,0.4273
t205,0.4627
t206,0.4805
t207,0.4631
t208,0.3957
