Interval,Hour,x,r,b,Sum
t3600,0,72.75,0,0,72.75
t3601,1,72.75,0,0,72.75
t3602,2,72,0,0,72
t3603,3,72,0,0,72
t3604,4,72,0,0,72
t3605,5,72,0,0,72
t3606,6,72,0,0,72
t3607,7,70.16,2.59,0,72.75
t3608,8,59.8,12.94,0,72.74
t3609,9,50.31,22.44,0,72.75
t3610,10,40.82,31.92,0,72.74
t3611,11,37.26,36.24,0,73.5
t3612,12,37.03,37.96,0,74.99
t3613,13,37.67,38.83,0,76.5
t3614,14,37.67,38.83,0,76.5
t3615,15,39.4,37.1,0,76.5
t3616,16,45.1,33.65,0,78.75
t3617,17,52.75,26.75,0,79.5
t3618,18,61.38,18.12,0,79.5
t3619,19,72.6,6.9,0,79.5
t3620,20,76.39,0.86,0,77.25
t3621,21,75,0,0,75
t3622,22,74.25,0,0,74.25
t3623,23,73.5,0,0,73.5
