Interval,Hour,x,r,b,Sum,h
t3600,0,72.5,0,0,72.5,0
t3601,1,72.5,0,0,72.5,0
t3602,2,10.5,0,61.5,72,0
t3603,3,10.5,0,61.5,72,0
t3604,4,34.34,0,37.66,72,0
t3605,5,72,0,0,72,0
t3606,6,72,0,0,72,0
t3607,7,59.28,13.47,0,72.75,0
t3608,8,5.4,67.35,0,72.75,0
t3609,9,0,72.75,0,72.75,0
t3610,10,0,72.75,0,72.75,0
t3611,11,0,73.5,0,73.5,68.33
t3612,12,0,75,0,75,0
t3613,13,0,76.5,0,76.5,0
t3614,14,0,76.5,0,76.5,32.99
t3615,15,0,76.5,0,76.5,0
t3616,16,0,78.75,0,78.75,14.79
t3617,17,0,79.5,0,79.5,0
t3618,18,0,79.5,0,79.5,0
t3619,19,43.58,35.92,0,79.5,0
t3620,20,33.3,4.49,39.46,77.25,0
t3621,21,13.5,0,61.5,75,0
t3622,22,12.75,0,61.5,74.25,0
t3623,23,73.5,0,0,73.5,0
